job_id,business_title,category,processed_text
405455,SYSTEMS ANALYST,1,system analyst revenue enhancement analysis rea unit within finance office federal state revenue revenue initiative project complex algorithm enterprise data warehouse data identify claim higher federal state reimbursement rate providing technical support internal external area recruiting one staff analyst function system analyst revenue enhancement development area perform technical analytical work assist agency revenue execute script variety new project duplicate enterprise data warehouse research perform quantitative analysis support agency initiative claim adjustment peg
354733,Clerical Associate,1,clerical associate family court division seeking applicant fill clerical position various borough location position responsible work degree difficulty responsibility routine administrative duty scanning telephone calendar filing system general receptionist duty may involve working member public outside agency data entry information computer system advance law manager compliance check certain ongoing data entry issue data analysis run law manager monitor data accuracy transporting document file court service legal document preparation file litigation document litigation correspondence search report chart graph word excel senior management corporation counsel office city new york state agency clerical task associated successful implementation raise age physical activity environmental condition experienced include lifting carrying box file climbing stair traveling throughout city type public transportation walking kind weather often carrying file
420757,Senior Police Administrative Aide,1,senior police administrative aide general supervision latitude independent action initiative decision position supervise direct perform difficult responsible clerical work manual system assist performance administrative work perform related task
390626,Staten Island Office Deputy Director,1,island office deputy director agency department city plan strategic growth development city community development land use policy zoning regulation applicable perspective growth community need sister agency collaboration office management budget six strategic objective include catalyze neighborhood improvement targeted public investment b encourage housing production quality c promote economic development job growth enhance resiliency neighborhood e ensure integrity timeliness responsiveness land use review f supply objective data broad range function stakeholder central mission support city commission annual review approximately land use application department also work closely capital strategy helping administer neighborhood development fund geared toward growing neighborhood undergoing infrastructure investment new york city department city great place work intellectual inspiration professional development creativity visit access full listing job opportunity learn great agency division island home nearly â½ million people unique geography serpentine ridge traverse much island natural feature coastal large wooded area five new york city borough issue facing borough similar facing city throughout rest country growth management infrastructure affordable housing much island community significant growth underway urban north shore throughout many traditional town center zoning borough comprised several distinct special district three together cover majority island place large focus preservation natural feature working closely central division department city island office responsible full range borough activity local plan focus growth management affordable housing resiliency natural resource preservation development land use application leading community outreach resiliency climate change providing technical policy guidance direction land use zoning related matter city commission local community board official public large role agency seeking fill position deputy director island borough office assist borough director manage team urban design professional wide variety project study track numerous land use application oversee comprehensive effort great latitude independent judgment deputy director assist director island office work program study assist training work office professional administrative staff supporting staff development consultation director team leader develop monitor work program establish priority deadline manage work assignment support director advise chair city commission city hall land use policy issue affecting island housing development resiliency environmental transportation work team leader borough certification manager zoning technical expert manage technical review special district land use application ensure timely review maintain consistent standard across agency division respond concern applicant dob industry representative official support effort streamline operation negotiate sensitive technical land use policy issue agency developer community group industry group official use independent judgment highly complex technical policy matter manage biweekly joint review island development manage department initiative land use application contribute urban design study work division department city agency community board official public represent department meeting official civic business community group community board public agency communicate city policy maintain working relationship absence perform requisite responsibility director perform related task
420805,Office Manager,1,office manager position responsible work degree difficulty responsibility supervision higher level staff attorney supervision latitude independent initiative judgment individual various type duty limited responsible office operation special litigation office staff entry data law electronic mail clerical function location overflow file cabinet file room division statistic accurate generating report assist management trend order make decision affect allocation limited resource borough emergency procedure manual approval invoice drafting staff evaluation inquiry regarding procedure protocol welcome material office policy new hire creation performance chart storage distribution office supply room equipment assignment closed case shipped acting liaison operation facility payroll staff law department division unit personnel law department building management outside vendor hired law department resolve facility equipment related malfunction physical activity environmental condition experienced include lifting carrying large box heavy file climbing stair transporting mail post office traveling throughout city type public transportation walking kind weather often carrying heavy file
415307,Principal Administrative Associate II,1,principal administrative associate new york city home approximately million older adult department aging helping age home community mission eliminate ensure dignity quality life diverse older adult also work support service advocacy education seek dynamic individual serve human resource generalist directly deputy director human supervisor staff daily basis ensure unit coverage time leave accurately b staff made aware matter concerning daily change policy procedure c resolution issue ensure compliance established procedure biweekly meeting agenda discus matter approval staff agency city time administrator profile schedule new employee update information necessary b agency approval tree help approver set backup approver assigned employee correct approval node approver change c shift schedule accommodate special request absence control department monthly absence control report internal absence stepping report research review data mi report ensure accuracy step b research review data mi report ensure accuracy step c memo sent supervisor employee step bureau chief notified employee advanced step compensation form employee supervisor witness applicable b claim information compensation system generate claim number initiate claim process law department c record case department
423644,"HR Intern, HR Unit",1,intern unit college aide division family child health new york city department health mental hygiene creation oversight program policy service environment support physical health promote primary reproductive health service health equity social justice safety new york city family child division comprised bureau maternal infant reproductive health bureau early intervention office school health bureau administration vision every child woman family recognize power given opportunity reach full health development potential encourage qualified applicant commitment social justice particularly racial gender equity apply duty include limited aggregate analyze data metric operational indicator prepare data presentation power tableau office assist special recruitment activity event participate strategy session support prepare bureau routine event special project complete data entry personnel action system pat support employee life cycle activity event bureau division achieve goal meet aid design development implementation related project outcome assist design development tool process eye towards increasing efficiency reducing waste
397081,Senior Advisor,1,senior advisor mayor de new york city housing authority comprehensive plan fix preserve public housing real estate development department redd leading real estate transaction address billion capital need redd utilize following three tool generate necessary revenue permanent commitment together pact pact use u department housing urban development hud section program fund renovation convert public housing section apartment permanently affordable housing plan convert apartment year address billion capital need build preserve new building space across portfolio address billion capital need across approximately apartment transfer preserve sell portion million square foot unused development right adjacent site generate billion capital repair adjacent development direction senior vice president real estate senior advisor provide strategic advice leadership support department senior advisor work team technical knowledge related real estate development public housing architecture urban design senior advisor work multiple project crucial key responsibility position include limited portfolio strategic real estate housing development preservation public housing project portfolio milestone neighborhood financial analysis modeling new construction preservation project presentation analysis executive team board city hall interagency partner potential source legal department contract document meeting interagency representative development partner lender resident project assuring project schedule working closely colleague state federal agency involved development affordable housing resident official community member temporary absence supervisor may assume duty position task related housing development finance
399195,HR / Recruitment Associate,1,recruitment associate bureau administration office operating capital budget well procurement payment responsibility facility management support service full breadth human resource function payroll time management human resource office personnel function approximate employee associate support recruitment related function within office responsibility include limited following job posting candidate recruitment mailbox recruitment data support agency recruitment process us platform job board strategy heighten visibility open position recruitment outreach advertisement fair newspaper professional journal professional recruitment analytical report data related activity condition initiative assist internship program activity related boarding intern electronic file recruitment activity check record accuracy information conformity established policy procedure probationary process civil service list appointment probation letter guidance manager related civil service rule regulation review probation report supervisor instance noncompliance attention team promptly assist implementation agency administration activity assist employee visitor query related matter telephone inquiry additional administrative support senior manager related assignment special project may
394721,Cosntruction Project Manager,1,project manager new york city housing authority public housing authority operating budget billion approximately employee manage maintain development house resident also section program rental assistance additional family standing new unit directly general manager coo charge operational side environmental hazard compliance first division launch paint reduction division deputy director paint division healthy home unit responsible overall management administration paint operation limited annual visual assessment biennial elevated blood lead level response lead safe work practice lead paint abatement training certification accordance u department housing urban development hud lead safe housing rule hud guideline evaluation control paint hazard housing pursuant section residential paint hazard reduction act title x new york city childhood lead poisoning prevention act responsibility include limited following manage lower level construction project manager monitor vendor field work visual inspection paint correction unit common area exterior ensure effective compliant procedure used vendor act vendor supervisor help solve issue might arise development throughout five borough work development development staff report vendor work use wireless computer device support different task relevant escalate issue assistant director progress development help solve recurring problem occur support quality assurance inspection assigned public housing development note position open qualified person disability eligible program please indicate cover letter would like considered position program detailed information regarding program please click following link please read posting carefully make certain meet qualification requirement position
403099,"Business/Data Analyst, Bureau of Human Resources and Labor Relations",1,analyst bureau human resource labor relation foreign education evaluation equivalency degree one united state please indicate education equivalency resume include name foreign education service acceptable service selected provide original hard copy foreign education evaluation department health mental hygiene premier urban health department united state long distinguished history innovation excellence promotion health important tool people varied city serve plus work force extraordinary array language culture experience bear work public health together greater health every new yorker inspiring innovation around globe bureau human resource labor relation looking analyst directly senior director analytics duty include limited lead requirement gathering analyze business cross functional unit need draft scope business requirement document requirement specification b identify opportunity streamline otherwise improve effectiveness efficiency quality service delivery c partner executive management senior director analytics unit develop visualization report specification create business process map translate meeting conversation requirement document e collaborate administration cross functional area develop maintain documentation business process standard operating procedure sop align bureau goal f evaluate procedure assist key performance indicator individual unit within bureau g generate compile recurring report multiple source limited employee personnel action system pat support bureau goal h create data driven visualization output tell story behind data senior staff nontechnical cross functional team perform analysis provide recommendation complex business issue j learn apply best practice human resource data modeling k communicate address data anomaly data gap issue provide information appropriate unit leader l write execute test plan behalf bureau case routine system change deployment assist central external internal system user enrollment request application issue n coach member team fundamental business analysis skill best practice create template custom report based bureau need p become subject matter expert new project time process system q report task
413019,Professional Development Trainer,1,professional development trainer department transportation seeking professional development trainer conduct training program responsibility include consulting agency manager director determine training need designing performance management training program program management skill design training program either external vendor agency manager content activity course material group process administer program project deadline demonstrate understanding ability apply adult learning principle variety facilitation technique interactive workshop engaging presentation measure evaluate impact training service program individual group set training objective select internal external training resource secure training space equipment maintain relationship city agency external vendor provide report director
420704,Information Representative,1,information representative city new office administrative trial hearing oath administrative tribunal holding approximately trial hearing year oath seek hire information representative work office hearing division information representative work supervision limited latitude independent judgment perform clerical related work candidate provide case information well information assistance member community oath case case basis representative also address investigate attempt resolve complaint respondent appear oath well create solution prevent similar problem future possible help identify systemic issue make recommendation improve practice procedure responsibility include limited significant contact public explain case procedure assist preparation filing case material resolution complaint perform responsible clerical work accurate information provided member community summons understand need assist aspect case efficiently member public appear hearing public timely access justice help respondent complete submit various form may tribunal default research agency respond public inquiry information window telephone perform routine office task filing keeping record
349565,OFFICE LIAISON,1,office liaison applicant permanent civil service status clerical associate eligible apply permanent civil service status clerical associate please apply position considered interview department environmental protection public health environment clean drinking water treating reducing air noise hazardous material pollution combined municipal water utility country nearly employee billion gallon per day highest quality drinking water million resident million people upstate new york conveyance treatment system capable billion gallon per day protect environment surrounding waterway agency chief office responsible procurement office work operational support bureau manage procurement process support program operation capital construction project supply service construction professional service primarily engineering also office contract service office office management budget agency office eight organizational group contract management operation special project contract administration contract opportunity administrative service management payment accounting strategic office two operational group specification scope development contract negotiation unit direction chief operation latitude independent initiative selected candidate responsible agency request proposal evaluation committee kickoff subsequent meeting maintain evaluation committee roster vendor presentation contract negotiation meeting prebid conference vendor city record ad agency procurement selected candidate liaison operational bureau staff vendor outside agency selected candidate must skill ability facilitate among across bureau complete task assignment must able develop maintain strong relationship personnel vendor community oversight agency selected candidate must able adapt fluid work environment need priority posse strong analytical organizational ability demonstrate effective clear persuasive oral written communication skill must familiar excel word
425572,Principal Administrative Associate Level I,1,principal administrative associate level general supervision latitude independent initiative position utilize manual office system perform responsible office supervisory administrative work personnel perform related work may perform duty lower level title assignment level train staff employee benefit administration principal administrative associate analyze resolve issue work temporary absence supervisor may assume duty position
346229,PROCUREMENT SPECIALIST,1,procurement specialist department environmental protection public health environment clean drinking water treating reducing air noise hazardous material pollution combined municipal water utility country nearly employee billion gallon per day highest quality drinking water million resident million people upstate new york conveyance treatment system capable billion gallon per day protect environment surrounding waterway bureau engineering design construction currently b active construction contract another b design contract responsibility management bureau project implement allow whole continue operate maintain exemplary water supply system human resource support division two section composed personnel service administrative special project section responsible professional development providing exceptional budgetary administrative customer service employee bureau engineering design construction seek hire procurement analyst human resource support division office queen supervision latitude independent initiative selected candidate serve procurement specialist procurement specialist responsible procurement function financial management system procurement system apt payee information portal pip division municipal supply service system procurement system pact small purchase contract system internal agency system selected candidate responsible procurement good service bureau staff selected candidate assist preparation review contract award modification formal request time extension contract recommendation approval disapproval contract good service emergency basis selected candidate responsible preparation review maintenance personal expense reimbursement imprest fund plan carry budget procedure one division monthly bureau expenditure status management selected candidate assist division preparation budget budget material review make recommendation bureau budget proposal assist development forecast estimate bureau expenditure review bureau performance measure selected candidate assist development maintain production formal report assist division proposal contract agenda item supporting information explain policy procedure give advice management issue procurement specialist provide support senior staff assist special study require data compilation analysis interpret information oral written presentation assist preparation forecast selected candidate also assist fiscal evaluation new need research respond budget inquiry specific responsibility include limited following purchase supply data entry purchase order assist division review requisition vendor obtain product service information price availability delivery schedule purchase order bid request order contact vendor find status order contact vendor discrepancy quantity quality interface division resolve problem issue necessary review bid proposal contract within budgetary limitation scope authority help develop inventory system applicant permanent civil service status procurement analyst eligible apply permanent civil service status procurement analyst please apply position considered interview
287169,"Director, Central Records Division",1,director central record division executive direction deputy commissioner support service bureau wide latitude exercise independent judgment initiative director central record division manage oversee staff professional technical administrative support personnel extremely important complex confidential work identification section stolen property inquiry section criminal record section unit public inquiry request section director responsible proper maintenance control sealing destruction dissemination criminal record report fingerprint related information division extremely confidential sensitive record integrity strict compliance governmental departmental rule regulation guideline meeting regularly deputy commissioner support service bureau section manager regarding division work operation activity position formulate modify implement review division program policy procedure set short long term goal objective serve key confidential advisor deputy commissioner support service bureau regarding newly program policy procedure attend meeting conference executive level department personnel regarding central record division operation act liaison department command outside agency regarding division work operation
402742,EEO Investigator Specialist,1,investigator specialist department environmental protection environment public health new providing billion gallon high quality drinking water reducing air noise hazardous material pollution combined municipal water utility country nearly employee water supply system comprised reservoir lake throughout square mile watershed mile north west city equal employment opportunity office responsible compliance policy work partnership organizational development human resource labor relation bureau management meet mandate compliance harassment protection office seek hire investigator specialist report directly assistant commissioner equal employment opportunity play critical role supporting commitment fostering diverse value inclusion selected primary function analyze evaluate conduct fact finding investigation concerning complaint discrimination employee perform legal work research fact question law addition investigator specialist charging party witness respondent obtain fact relevant charge discriminatory employment practice case based factor age race color religion disability retaliation sex national origin selected candidate make written request clarification employee seek evidence supporting claim investigator specialist would also collect documentation agency policy procedure statistical evidence relevant complaint discrimination investigator specialist also engaged activity limited writing investigative plan report case question document request bureau administrator liaison additional information gathering relevant supporting document penalty resolution providing advice legal matter selected candidate also responsible training educational presentation employee various topic diversity management sexual harassment prevention human right topic training presentation include information law regulation prohibit discrimination workplace manager obligation responsibility employee right responsibility physical requirement physical demand representative may selected candidate successfully perform essential function investigator specialist position duty position investigator specialist regularly sit use hand handle feel talk hear employee frequently reach hand arm employee regularly attend meeting training similar engagement employee may move foot vehicle accomplish task specific vision ability job include close vision distance vision ability adjust focus
282746,Administrative Transportation Coordinator M-I,1,administrative transportation mi repost candidate responsible management implementation number transit signal priority corridor million corridor part federal grant select bus service project candidate start working new corridor south south b boulevard q queen boulevard queen candidate also working next corridor estimate million city candidate accountable modeling project must fluent synchro program input analysis calibration result model responsibility candidate need conduct traffic modeling simulate traffic operation visualize quantify traffic operation investigate various control strategy beneficial scheme candidate chief engineering providing assistance related project traffic signal approval traffic signal design installation candidate also number vision zero initiative synchro model run recommendation various signal progression sequence along studied corridor review signal warrant highway capacity analysis traffic impact study candidate may need resolve problem arise meeting schedule cost candidate also working university transportation research center vision zero initiative related pedestrian cyclist safety project technology perform simulation run countermeasure reducing pedestrian injury conflict fatality management information system provide data control project development consultant selection process contract may incidentally perform duty subordinate consultant agency
333268,EEO Investigator,1,investigator investigator work general limited supervision conduct investigation regarding complaint discrimination sexual harassment field request reasonable accommodation prepare report support diversity equal employment opportunity office provide training education agency employee right responsibility federal state city agency policy diversity inclusion initiative specifically investigator chief diversity officer responsibility include limited following investigative plan include witness interview question ask document request acquire said document witness obtain complete thorough response question writing investigative report making recommendation chief diversity director based investigatory finding investigation complaint discrimination sexual harassment retaliation internal external partner investigation development delivery classroom diversity inclusion training training material routinely reflect change law conduct duty necessary comply regulation internal external policy otherwise support work related diversity inclusion goal necessary
392412,Supervisor of the Payroll NYCAPS Unit,1,supervisor payroll unit please note employee permanent title principal administrative associate apply department environmental protection environment public health new providing billion gallon high quality drinking water reducing air noise hazardous material pollution combined municipal water utility country nearly employee water supply system comprised reservoir lake throughout square mile watershed mile north west city payroll administration unit within bureau organizational development human resource od responsible timely accurate employee payroll providing responsive payee service uniform payroll policy procedure payroll matter among agency currently seeking highly individual position supervisor payroll unit selected candidate responsible change made employee pay leave status payment separation service permanent temporary responsibility include limited employee terminal leave exhausting leave prior retirement maintain terminal leave assignment change auditor employee separating service assure accurate calculation form employee last day due auditor employee leave insure accurate compensation recovery overpayment create monitor hold list ensure proper payment employee separating service going leave refund check office payroll administration employee undistributed check reconcile report transaction retroactive change input manage payroll view queue audit transaction prior entry related transaction pi complete payroll summary weekly biweekly payroll complete stop payment form necessary enter quarterly update additional pay special project assist calculation salary adjustment due contract settlement candidate must knowledge leave regulation physical requirement physical demand representative may selected candidate successfully perform essential function position duty position employee regularly sit use hand handle feel talk hear employee frequently reach hand arm employee regularly attend meeting training similar engagement employee may move foot vehicle accomplish task specific vision ability job include close vision distance vision ability adjust focus
415032,Criminal Court Assistant,1,criminal court assistant direct supervision criminal court supervisor candidate serve criminal court assistant duty include limited following provide court part draft desk appearance ticket case case scan complaint photograph affidavit system criminal arraignment breakdown criminal case arraignment prepare property release answer telephone screen visitor file locate case whenever necessary close case general clerical duty assigned
422267,Senior Police Administrative Aide,1,senior police administrative aide general supervision latitude independent action initiative decision position supervise direct perform difficult responsible clerical work manual system assist performance administrative work perform related task senior police administrative aide responsible supervision civilian staff well clerical word data entry task perform administrative work moderate difficulty handling confidential information material perform related task
402661,Community Assistant,1,community assistant department environmental protection environment public health new providing billion gallon high quality drinking water storm water reducing air noise hazardous material pollution combined municipal water utility country nearly employee water supply system comprised reservoir lake throughout square mile watershed mile north west city bureau water sewer operation seeking candidate position cross connection control enforcement unit duty include limited research update information system utilize various source determine property compliance chapter cross connection control device installation guideline local law sewer regulation issue failure install failure test backflow prevention device summons property owner program guideline represent hearing associated previously summons office office administrative trial hearing oath interact person phone public judge attorney city employee oath hearing preparation post hearing perform administrative clerical task arise manual office system
